HMD,TMP,PRS,MVT,IND,NH3,CO2,DST
40.84,25.59,0.0,1.0,87.51,0.0,0.0,0.0
40.99,25.61,1011.57,0.0,87.24,0.0,0.0,0.0
41.24,25.5,1011.58,0.1,86.51,414.0,408.0,0.0
41.44,25.61,1011.59,0.0,84.82,420.0,412.0,0.0
40.26,25.54,1011.6,0.15,84.0,415.0,415.0,0.0
39.97,25.68,1011.63,0.0,83.11,419.0,418.0,0.0
40.98,25.83,1011.61,0.06,80.79,420.0,423.0,0.0
40.76,25.88,1011.61,0.0,79.28,424.0,426.0,0.0
41.34,26.01,1011.69,0.0,78.17,414.0,420.0,0.0
39.2,25.98,1011.6,0.0,77.54,422.0,419.0,0.0
40.4,26.12,1011.62,0.0,77.26,423.0,419.0,0.0
40.39,26.3,1011.63,0.0,76.93,418.0,417.0,0.0
39.54,26.25,1011.6,0.0,77.02,412.0,419.0,0.0
39.85,26.28,1011.61,0.0,76.67,417.0,419.0,0.0
39.81,26.43,1011.61,0.0,77.01,424.0,417.0,0.0
39.75,26.48,1011.63,0.0,76.88,415.0,409.0,0.0
40.35,26.58,1011.62,0.0,76.44,422.0,410.0,0.0
40.8,26.52,1011.59,0.0,76.74,421.0,418.0,0.0
40.81,26.68,1011.57,0.0,76.97,421.0,418.0,0.0
39.5,26.83,1011.61,0.0,77.51,420.0,420.0,0.0
40.37,26.87,1011.59,0.0,77.32,417.0,414.0,0.0
39.28,27.01,1011.56,0.0,77.13,417.0,422.0,0.0
40.15,26.94,1011.58,0.01,76.99,415.0,416.0,0.0
39.2,26.99,1011.55,0.0,77.09,420.0,415.0,0.0
41.09,27.21,1011.56,0.0,77.17,415.0,416.0,0.0
42.43,27.18,1011.57,0.0,77.39,420.0,421.0,0.0
43.05,27.21,1011.59,0.0,77.41,421.0,416.0,0.0
43.64,27.27,1011.6,0.0,78.53,418.0,412.0,0.0
38.0,27.38,1011.57,0.0,78.52,424.0,425.0,0.0
41.47,27.52,1011.56,0.0,78.7,423.0,421.0,0.0
42.88,27.54,1011.54,0.0,78.63,413.0,422.0,0.0
42.21,27.63,1011.57,0.0,78.57,425.0,427.0,0.0
41.66,27.7,1011.66,0.0,78.59,413.0,425.0,0.0
41.64,27.79,1011.68,0.0,78.72,423.0,426.0,0.0
41.24,27.85,1011.67,0.0,78.44,422.0,418.0,0.0
42.05,27.85,1011.71,0.0,78.19,416.0,419.0,0.0
39.24,28.03,1011.72,0.0,78.11,413.0,423.0,0.0
41.1,28.1,1011.69,0.0,77.79,418.0,429.0,0.0
40.27,28.12,1011.65,0.0,77.84,424.0,418.0,0.0
39.65,28.16,1011.67,0.0,77.71,414.0,421.0,0.0
38.8,28.23,1011.68,0.0,77.88,419.0,417.0,0.0
37.63,28.3,1011.69,0.0,77.65,412.0,422.0,0.0
38.63,28.36,1011.69,0.0,77.92,414.0,421.0,0.0
39.66,28.5,1011.72,0.0,78.0,420.0,417.0,0.0
39.2,28.54,1011.69,0.0,77.88,414.0,423.0,0.0
41.33,28.67,1011.7,0.0,78.02,414.0,425.0,0.0
39.12,28.78,1011.67,0.0,77.75,416.0,423.0,0.0
37.98,28.72,1011.67,0.0,77.46,416.0,419.0,0.0
38.07,28.94,1011.66,0.0,77.71,410.0,416.0,0.0
36.45,28.96,1011.68,0.0,77.62,411.0,418.0,0.0
38.96,29.12,1011.68,0.0,77.68,411.0,419.0,0.0
40.15,29.19,1011.71,0.0,77.73,420.0,415.0,0.0
38.69,29.27,1011.72,0.0,77.89,409.0,422.0,0.0
38.34,29.29,1011.69,0.0,77.59,412.0,426.0,0.0
38.93,29.32,1011.71,0.0,77.18,422.0,420.0,0.0
38.36,29.52,1011.68,0.0,77.38,412.0,422.0,0.0
37.88,29.45,1011.68,0.0,77.07,425.0,423.0,0.0
38.09,29.43,1011.64,0.0,74.07,415.0,426.0,0.0
36.95,29.45,1011.62,0.0,70.42,419.0,412.0,0.0
37.06,29.76,1011.59,0.0,70.16,414.0,422.0,0.0
38.64,29.67,1011.65,0.0,70.46,416.0,422.0,0.0
36.85,29.78,1011.62,0.0,70.6,424.0,418.0,0.0
40.19,29.76,1011.6,0.0,71.02,425.0,423.0,0.0
38.27,29.9,1011.66,0.0,71.15,422.0,416.0,0.0
36.06,29.98,1011.63,0.0,71.19,417.0,423.0,0.0
36.8,30.05,1011.57,0.0,71.07,414.0,425.0,0.0
39.87,30.07,1011.65,0.0,71.07,424.0,417.0,0.0
36.55,30.18,1011.64,0.0,71.24,411.0,424.0,0.0
39.96,30.18,1011.61,0.0,71.41,421.0,420.0,0.0
37.84,30.3,1011.64,0.0,71.13,416.0,424.0,0.0
38.05,30.36,1011.6,0.0,70.8,412.0,426.0,0.0
39.05,30.45,1011.63,0.0,71.11,421.0,418.0,0.0
37.3,30.56,1011.61,0.0,70.96,418.0,421.0,0.0
37.54,30.58,1011.64,0.0,70.89,420.0,418.0,0.0
37.23,30.65,1011.64,0.0,70.95,415.0,426.0,0.0
37.68,30.65,1011.65,0.0,70.75,411.0,424.0,0.0
36.43,30.69,1011.56,0.0,70.69,413.0,425.0,0.0
38.01,30.81,1011.6,0.0,70.35,421.0,426.0,0.0
36.64,30.81,1011.63,0.0,70.9,416.0,426.0,0.0
36.9,30.94,1011.58,0.0,70.54,420.0,427.0,0.0
36.76,31.09,1011.64,0.0,70.5,412.0,425.0,0.0
36.78,31.23,1011.6,0.0,70.11,418.0,421.0,0.0
37.08,31.29,1011.56,0.0,70.27,421.0,429.0,0.0
36.87,31.39,1011.61,0.0,70.24,412.0,418.0,0.0
36.35,31.36,1011.65,0.0,70.22,413.0,419.0,0.0
35.92,31.47,1011.62,0.0,70.06,410.0,417.0,0.0
36.28,31.41,1011.56,0.0,70.36,418.0,428.0,0.0
36.65,31.52,1011.6,0.0,70.55,416.0,423.0,0.0
37.3,31.61,1011.65,0.0,70.59,421.0,429.0,0.0
36.02,31.63,1011.59,0.0,70.52,419.0,428.0,0.0
35.42,31.67,1011.6,0.0,69.84,414.0,422.0,0.0
35.4,31.85,1011.57,0.0,69.38,408.0,417.0,0.0
35.63,31.87,1011.56,0.0,68.94,418.0,428.0,0.0
32.91,31.98,1011.62,0.0,68.87,409.0,418.0,0.0
38.98,31.98,1011.55,0.0,68.89,418.0,431.0,0.0
32.3,32.03,1011.6,0.0,68.91,417.0,430.0,0.0
36.12,31.99,1011.62,0.0,69.11,415.0,419.0,0.0
35.07,32.18,1011.56,0.0,69.29,409.0,418.0,0.0
35.29,32.23,1011.55,0.0,69.11,418.0,428.0,0.0
33.76,32.1,1011.59,0.0,69.09,419.0,427.0,0.0
35.71,32.29,1011.6,0.0,69.13,419.0,422.0,0.0
35.78,32.5,1011.52,0.0,68.92,410.0,425.0,0.0
33.3,32.34,1011.57,0.0,69.16,419.0,419.0,0.0
35.19,32.39,1011.64,0.0,69.04,411.0,420.0,0.0
34.33,32.52,1011.54,0.0,69.24,408.0,426.0,0.0
37.09,32.58,1011.55,0.0,69.48,418.0,427.0,0.0
35.51,32.56,1011.59,0.0,69.65,416.0,418.0,0.0
33.32,32.74,1011.59,0.0,69.63,408.0,430.0,0.0
37.56,32.69,1011.55,0.0,69.56,417.0,424.0,0.0
36.16,32.69,1011.59,0.0,69.41,416.0,420.0,0.0
36.14,32.78,1011.61,0.0,69.06,410.0,428.0,0.0
33.32,32.9,1011.55,0.0,69.07,417.0,421.0,0.0
33.67,32.92,1011.57,0.0,68.73,416.0,429.0,0.0
35.04,32.98,1011.6,0.0,68.75,406.0,427.0,0.0
34.34,33.03,1011.56,0.0,69.09,416.0,433.0,0.0
33.62,33.19,1011.62,0.0,68.95,410.0,429.0,0.0
34.35,33.18,1011.58,0.0,68.71,412.0,433.0,0.0
36.86,33.18,1011.56,0.0,68.65,416.0,422.0,0.0
36.97,33.16,1011.59,0.0,68.72,414.0,428.0,0.0
34.29,33.27,1011.55,0.0,68.85,407.0,431.0,0.0
35.21,33.25,1011.59,0.0,69.07,417.0,432.0,0.0
31.64,33.34,1011.54,0.0,68.86,405.0,428.0,0.0
32.64,33.38,1011.56,0.0,69.16,412.0,423.0,0.0
34.34,33.47,1011.6,0.0,69.2,417.0,431.0,0.0
